wellids,mni_x,mni_y,mni_z
1,-55.6,-38.1,6.5
2,-44.1,-44.8,9.1
3,-46.3,-45.7,5.9
4,-56.1,-58,10.2
5,-57.7,-37.8,7.5
6,-66.3,-42.9,13.9
7,-55,-58,10.2
8,-0.5,11.6,24.3
9,-31.4,-0.6,47.1
10,-32.4,3,56.5
11,-22.8,6.6,57.2
12,-49.1,7.4,32.9
13,-25.6,18.9,53.7
14,-48.2,2.7,31.5
15,-44.9,7,30.8
16,-36.2,17.2,35.8
17,-2.5,-68.9,19.1
18,-1.5,-68.9,19.1
19,-25.1,-0.5,-32.4
20,-29.6,-12.9,-29
21,-26.4,-12.5,-27.9
22,-24,-0.5,-32.3
23,-27.2,-1.1,-34.5
24,-47.5,-53.3,-18.5
25,-42.9,-35.7,-22.8
26,-35.5,-36.6,-27
27,-42.5,-21.4,-18.8
28,-38.1,-14.2,-33.5
29,-33.9,-15,-36.6
30,-29.8,-61.7,-9.8
31,-32.5,-1.8,-36.8
32,-26.2,-2.8,-40.9
33,-41.5,-64.1,-14.1
34,-36.7,-84.3,25.7
35,-43.9,-76.3,27.4
36,-42.9,-79.1,16.7
37,-35.4,-76.5,51.1
38,-35.7,-84.3,25.7
39,-45.6,-62.6,33.7
40,-56.1,-60.3,43.1
41,-51.3,-37.3,-28.3
42,-52.4,-35.3,-20.9
43,-53.5,-37.3,-28.4
44,-52,-23.2,-20.9
45,-55.3,-25.9,-30.6
46,-55.2,-23.6,-22
47,-45.2,-43.2,-13.6
48,-55.7,-44.1,-8.1
49,-54.9,-51.2,-10.1
50,-53.9,-12.3,-25.2
51,-44.4,-14.9,-35.7
52,-41.2,-12.6,-27.1
53,-42.4,-60.7,-1.3
54,-57.9,-44.4,-9.2
55,-54.9,-52.6,-15.5
56,-46.5,-53.3,-18.5
57,-50.9,-61.8,-4.7
58,-40.4,-62.7,-8.8
59,-54.1,-62.4,-6.9
60,-36.8,-86,-9.9
61,-7.4,-94.1,-17.8
62,-6.4,-94.1,-17.8
63,-35.5,43.8,-9.5
64,-32.4,44.4,-7.3
65,-11,54.2,-17.6
66,-46.9,14.3,-12.1
67,-10,54.2,-17.6
68,-31.6,33.6,-10.9
69,-19.9,-85.7,-18.5
70,-12.4,-82.9,-16.6
71,-24.5,-59.1,-4.6
72,-6.6,-62.9,8.9
73,-6.7,-67.3,-3.7
74,-3.8,46.8,-12.7
75,-7,44.8,-20.2
76,-8.5,30,-22
77,-54.9,-11.5,-22
78,-57.5,-31.8,-7.1
79,-59.7,-35.5,-21
80,-60.7,-31.6,-6.1
81,-52,-22.1,-16.6
82,-58.9,-43.3,-5
83,-57.9,-47.1,1.4
84,-55.8,-47.4,0.4
85,-55.9,-9.3,-13.5
86,-51.7,-11.2,-20.9
87,-50.7,-12,-24.1
88,-49.4,-0.8,-31.8
89,-46.2,-1.8,-36
90,-52.4,2.5,-19
91,-41.8,7.7,-37.7
92,-32.2,-31.6,-16.6
93,-34.1,-23.7,-28.2
94,-20.4,-22,-22.6
95,-25.6,-22.4,-23.8
96,-32.4,-37.9,-15.4
97,-12.3,-39.2,-9.1
98,-28.1,-37,-12.1
99,-5.4,-17.3,48.6
100,-1.3,-21.7,73.1
101,-6,-40.2,57.4
102,-37.7,0.6,14.3
103,-54.1,20,22.6
104,-53,20,22.6
105,-53.4,6.4,-4
106,-54.2,16.7,14.2
107,-55.2,18.3,-0.7
108,-47.8,17.8,-7.2
109,-45.6,22.4,-2.4
110,-52,17.8,-2.8
111,-42.1,35.9,-1.4
112,-8,-74.2,7.6
113,-53.2,-27.3,34.8
114,-48.9,-24.8,35.6
115,-57.3,-23.4,54.1
116,-52.1,-26.5,50.4
117,-54.3,-31.1,45.6
118,-45.6,-20.8,62.9
119,-48.1,-35.5,53.3
120,-46.1,-40.9,40.9
121,-39.4,-26.1,67.4
122,-44.6,-20.8,62.9
123,-7.1,1.4,36.1
124,-3,-4.9,28.4
125,-1.2,-16.7,29.6
126,-12.7,-13.1,39.8
127,-5.3,-12.7,36.6
128,-17.4,-32.1,38.8
129,-2.7,-35.6,33.1
130,-44.1,-1,54.8
131,-56.8,-4.4,42.8
132,-53.8,-10,33.8
133,-58,-10.8,35
134,-64.4,-10.2,4.4
135,-58.8,1.2,34.9
136,-63.2,-6.1,11.5
137,-40.1,-11,62.3
138,-38.2,-17.6,41.2
139,-35.2,-27.4,62.2
140,-21.2,-13.9,66.7
141,-36.1,-18.7,66.1
142,-37.2,-22.1,53.3
143,-41.5,-23,54.5
144,-19.2,-18.7,73.3
145,-21.4,-22.7,58.2
146,-5.6,-64.4,23.8
147,-5.3,-51.6,64
148,-4.2,-50.2,40.2
149,-5.6,-62.9,8.9
150,-3.1,-50.2,40.3
151,-7.2,38.2,-7.8
152,-34.1,59.2,-1.1
153,-25.9,48.1,31.4
154,-46.4,30.7,20.7
155,-26.1,41.3,47.3
156,-31.5,36.7,30.1
157,-24.9,48.2,31.4
158,-41.9,40.9,17.8
159,-1.6,7.7,59.8
160,-18.5,6.7,57.3
161,0.4,44.6,32.7
162,-24.9,7.4,60.4
163,-6.6,17.9,48.8
164,-8.9,13.3,27.1
165,-18.2,20.4,54.8
166,-13.7,29.3,50.9
167,-3,-3.7,70.8
168,1.7,57.3,22.5
169,-2.3,64.8,9.8
170,-1.2,64.9,9.8
171,0,28.4,42.5
172,-12.7,29.4,51
173,-11.6,28.5,47.8
174,-25.2,-4.8,68.3
175,0,31.1,27.4
176,-14.6,35.7,54.2
177,-6.4,27.6,18.9
178,-3.2,-11.6,65.6
179,-2.8,42.7,50.9
180,-21.9,42,37.2
181,0.4,44.8,33.8
182,-35.1,-62.6,45.2
183,-34,-62.6,45.2
184,-38.3,-62.5,58.6
185,-20.4,-66.4,63.1
186,-18.4,-70.3,52.6
187,-17.3,-70.2,52.7
188,-35.5,-38,42.8
189,-16.8,-50.2,70.2
190,-62.7,-28.6,1.2
191,-50.8,-16.6,-4.2
192,-52,-21,-12.3
193,-67.6,-14.6,0.7
194,-55.6,-36.9,10.7
