wellids,mni_x,mni_y,mni_z
1,-24.6,-24.6,1.3
2,-9.8,-21.3,16.8
3,-7.8,-27.8,4.6
4,-20.5,-26.7,9.7
5,-12,-25.4,9.6
6,-14.2,-28.5,2.3
7,-12.9,-18.3,11.6
8,-18.1,-17.1,12.4
9,-7.7,-21.5,3.4
10,-15.1,-22.5,0
11,-8.8,-24.8,-5
12,-17.2,-23.7,-4.3
13,-19.3,-23.8,-4.3
14,-19.1,-13.9,3.9
15,-22.2,-12.1,6.9
16,-8.3,-5.9,-4
17,-7.6,-17.7,13.9
18,-2.4,-21.3,8
19,-2.5,-23.8,-1.7
20,-2.5,-26,-5.7
21,-7.6,-18.1,16.2
22,-7.7,-23.5,8.3
23,-17.2,-22.7,7.9
24,-11.9,-22,10.1
25,-20.3,-21.1,14.2
26,-1.5,-26.4,1.1
27,-1.5,-27.5,-3.2
28,-5.7,-27.6,-3.3
29,-14.2,-27.3,-5.8
30,-24.5,-19.3,4.8
31,-24.8,-30.8,7
32,-22.6,-29.1,-3.4
33,-11,-27.4,14.5
34,-10,-30.4,7.2
35,-22.7,-31.3,4.9
36,-12.1,-30.2,8.3
37,-9.1,-34.5,-4.3
38,-4.4,-15.7,0.1
39,-3,-4.4,1.4
40,-20.5,-28.2,-0.2
41,-21,-5.5,6.8
42,-28.6,-16.4,7.5
43,-5.1,-5.6,9.4
44,-10.5,-6.9,0.6
45,-11.5,-7.8,-2.6
46,-17.8,-4.9,21.4
47,-11.1,10.2,7.5
48,-16.6,1.1,14.7
49,-18.1,-15.4,23.3
50,-14.1,16.8,11.8
51,-13,16.8,11.8
52,-14,18.5,1.4
53,-18.2,-21.9,23.4
54,-33.1,-23.9,-8
55,-29,12,-1.1
56,-26.4,-11.7,-7.9
57,-30.9,-21.7,8.5
58,-25.1,-3.2,7.4
59,-32.5,-2.9,4.9
60,-27.5,-12.5,5.7
61,-33.9,-16.1,5.1
62,-33.7,-7.2,1.2
63,-26.4,-12.5,5.7
64,-24.1,-3.2,7.4
65,-26.2,-3.2,7.4
66,-27.9,-28.4,-0.3
67,-21.5,13.5,-0.1
68,-20.5,13.6,-0.1
69,-30.1,8.8,-5.1
70,-31.7,-12.3,6.7
71,-20.6,9.9,-1.7
72,-22.5,16.6,-5.2
73,-24.3,-10.8,-4.6
74,-21.2,-12.3,-6.5
75,-24.4,-16.3,-4.7
76,-25.5,-17.6,-5.6
77,-23.4,-17.6,-5.6
78,-22.6,-27.4,-13.8
79,-33.2,-27.4,-12.9
80,-28.6,-15.3,-17.3
81,-19.1,-13.6,-11.8
82,-24.8,-30.1,-15.6
83,-34.3,-29.2,-11.5
84,-33.2,-28.4,-8.3
85,-32.1,-28.3,-8.3
86,-31.1,-28.6,-9.3
87,-36.3,-28.4,-8.3
88,-18.6,-36.4,-6.4
89,-31.3,-35.9,-7.9
90,-32.3,-34.1,-4.9
91,-30.2,-35.1,-4.7
92,-29.1,-35.6,-6.8
93,-24.6,-21.5,-20.6
94,-31.9,-20.3,-15.4
95,-27.7,-19.1,-11
96,-28.7,-20,-14.2
97,-30.8,-19.7,-13.2
98,-18.5,-30.4,-8.7
99,-33.2,-31,-10
100,-32.2,-30.7,-8.9
101,-31.1,-30.7,-8.9
102,-21.3,-16,-20.4
103,-30,-26.5,-9.7
104,-27.8,-26.4,-9.6
105,-26.8,-26.7,-10.7
106,-22.1,-7.6,-9.6
107,-24.2,-9.4,-16.1
108,-25.3,-8,-10.8
109,-30.6,-10.1,-18.4
110,-29.5,-10.1,-18.3
111,-24.4,-13.8,-11.9
112,-23.3,-13.2,-9.8
113,-27.5,-14.1,-13
114,-26.5,-14.1,-13
115,-6.9,7.7,-6.5
116,-25.6,-17.9,7.9
117,-21.1,-17.8,6.7
118,-20,-17.8,6.7
119,-8.8,-19.7,11.6
120,-8.6,-26.7,-3.1
121,-14.3,-25.6,0.3
122,-10.1,-15,20.6
123,-3.2,-19.6,9.3
124,-23.4,-14.5,8.7
125,-16.7,-11.3,3.7
126,-13.3,-10.2,1.3
127,-16.6,-27.2,18.2
128,-1,-7.8,1.1
129,-5.5,-9.1,-2.3
130,-4.3,-9.1,-3.5
131,-5.4,-9.3,-7
132,-2.2,-7.8,3.5
133,-9.9,-25.1,12.1
134,-15.4,-28.6,10
135,-20.9,-33.3,1
136,-8.7,-25.1,12.1
137,-5.5,-9,2.4
138,-1.1,-6.4,11.6
139,-19.8,-33.2,5.7
140,-12.1,-27.3,12.3
141,-17.8,-17.8,5.5
142,-18.8,-27.3,17
143,-3.2,-17.4,11.4
144,-5.4,-20,-0.2
145,-8.7,-20,-0.2
146,-8.7,-19.2,-6.1
147,-4.2,-20.1,-4.9
148,-12.6,19.4,2.2
149,-9.1,6.6,10.4
150,-11.4,4.4,12.9
151,-18.9,-27.1,24
152,-29.2,5.8,-2.6
153,-33.6,-1.8,1.7
154,-31.2,-17,3
155,-21.5,20.2,-1.5
156,-29.2,-1.6,6.4
157,-30,-24.7,3.7
158,-27.7,-24.7,1.4
159,-31.2,-16,0.6
160,-28.1,-1.5,6.4
161,-31.2,-23.4,8.3
162,-12.3,2.8,-2.2
163,-18,6,-1.4
164,-22.4,1.7,1.4
165,-25.5,-18.3,-6.3
166,-24.4,-18.3,-6.3
167,-26.6,-17.6,-15.8
168,-25.5,-17.4,-11.1
169,-31,-16.7,-18.2
170,-22,-16.6,-21.8
171,-28.7,-33.6,-1.4
172,-24.2,-34.7,-6
173,-26.4,-34.8,-6
174,-27.5,-34.9,-8.3
175,-18.6,-34.7,-7.1
176,-25.5,-11.1,-19.9
177,-13.2,-10.7,-14
178,-17.7,-10.9,-15.2
179,-31,-28.4,-8.9
180,-22,-29.3,-8.8
181,-19.9,-11,-17.5
182,-24.2,-37.9,-3.3
183,-24.1,-39.1,-6.7
184,-26.4,-39.1,-3.2
185,-23,-37.9,-4.5
186,-33.1,-40.1,0.4
187,-18.5,-36.9,-6.9
188,-25.5,-17.5,-13.4
189,-10.1,5.9,-8.4
190,-12.5,20.1,-7.4
191,-1,-20,5
192,-26,-20,0
193,-13,-9,-5
194,-13,-9,-1
195,-6,-9,3
196,-18,-9,10
197,-12,-9,8
198,-25,-9,3
199,-19,-20,-5
200,-19,-20,1
201,-18,-20,9
202,-8,-20,-2
203,-27,-20,0
204,-26,-20,9
205,-11,-20,4
206,-9,-20,10
207,-24,-20,5
208,-5,-20,7
209,-10,-20,13
210,-6,-9,11
211,-2,-9,4
212,-5,-9,11
213,-17,-35,0
214,-16,-35,1
215,-13,17,9
216,-12,16,-8
217,-24,-20,21
218,-6,5,1
219,-12,17,9
220,-21,-9,21
221,-14,5,16
222,-23,17,-1
223,-16,4,-12
224,-36,3,1
225,-37,-9,-10
226,-38,-9,8
227,-18,4,-13
228,-35,3,1
229,-13,4,-10
230,-28,-9,-8
231,-27,-9,-8
232,-39,-19,3
233,-34,-19,7
234,-32,-9,10
235,-22,4,2
236,-30,4,6
237,-24,-9,-8
238,-16,5,-3
239,-30,-35,-2
240,-31,-35,5
241,-18,-35,5
242,-33,-35,2
243,-39,-35,-3
244,-36,-20,-11
245,-32,-20,-12
246,-36,-20,-15
247,-17,-35,5
248,-29,-35,-2
249,-32,-35,3
250,-29,-35,8
251,-25,-35,0
252,-27,-9,-24
253,-26,-9,-24
254,-18,-9,-26
255,-29,-20,-12
256,-27,-20,-20
257,-30,-35,4
258,-38,-35,4
259,-40,-35,0
260,-21,-9,-12
261,-27,-9,-17
262,-25,-9,-15
263,-26,-9,-17
264,-25,-9,-11
265,-10,4,-16
266,-8,4,-11
267,-10,4,-9
268,-9,-7,-2
269,-9,-26,4
270,-14,-26,8
271,-21,-26,10
272,-17,-26,10
273,-10,-26,14
274,-8,-26,4
275,-19,-26,-2
276,-16,-18,-2
277,-16,-18,-3
278,-20,-18,11
279,-8,-18,4
280,-14,-18,20
281,-7,-18,13
282,-14,-7,2
283,-8,-7,2
284,-10,-7,-1
285,-9,-7,4
286,-4,-7,14
287,-4,-6,17
288,-8,-7,9
289,-9,-7,5
290,-18,-26,-2
291,-23,-26,12
292,-9,-26,19
293,-14,-26,7
294,-12,-18,17
295,-16,-18,7
296,-10,14,9
297,-13,3,20
298,-20,24,4
299,-17,24,7
300,-7,3,-6
301,-3,3,-2
302,-5,3,5
303,-6,3,10
304,-18,-6,22
305,-22,-26,22
306,-19,-18,23
307,-17,4,-12
308,-31,-18,1
309,-32,4,-3
310,-11,3,-8
311,-35,-18,-3
312,-33,-18,-6
313,-37,-6,2
314,-36,-18,1
315,-27,-7,-8
316,-37,-7,-10
317,-24,3,1
318,-32,-7,3
319,-32,-7,-4
320,-13,3,1
321,-13,-7,-9
322,-14,-7,-3
323,-11,-7,-9
324,-12,-7,-6
325,-10,-7,-4
326,-14,-7,-6
327,-11,-7,-6
328,-13,-7,-6
329,-9,-7,-4
330,-22,-7,-8
331,-28,-7,-5
332,-19,-7,-8
333,-30,-26,-9
334,-35,-26,-7
335,-29,-26,-9
336,-18,-38,4
337,-24,-38,5
338,-23,-38,5
339,-17,-38,4
340,-28,-18,-16
341,-33,-18,-14
342,-34,-18,-12
343,-35,-18,-17
344,-28,-18,-17
345,-24,-18,-20
346,-31,-26,-8
347,-33,-26,-12
348,-23,-26,-10
349,-25,-38,5
350,-28,-38,1
351,-19,-38,1
352,-19,-7,-13
353,-25,-7,-22
354,-24,-7,-12
355,-25,-7,-16
356,-6,4,-12
357,-4,3,-6
358,-10,14,-6
359,-7,0,-4
360,-8,0,-3
361,-4,-14,9
362,-9,-14,1
363,-15,-15,11
364,-17,-15,-3
365,-22,-16,8
366,-10,-15,10
367,-17,-15,2
368,-13,0,2
369,-7,0,2
370,-23,-28,-4
371,-30,-28,6
