gene symbol,mean r-value,mean slope,H0351.2001 r-value,H0351.1012 r-value,H0351.2002 r-value,H0351.1016 r-value,H0351.1015 r-value,H0351.1009 r-value,t,p
A1BG,0.042766,0.006617,0.15405359275522737,0.15605853394887728,-0.19817978944367126,0.19432831305489301,-0.17791028231069095,0.12824697737644508,0.485346592576,0.64794910834548558
A2M,-0.293636,-0.047764,-0.19309573190651691,-0.019648480707801421,-0.24922240604204404,-0.56057915427072258,-0.67061287927812474,-0.068656734492071742,-2.52056066972,0.053138288078795483
SERPINA3,-0.231442,-0.036513,-0.47662099553627368,-0.15634162879173144,-0.026384819962557149,-0.2601866410330102,-0.24930018956620811,-0.21982000995254675,-3.38199116354,0.019631590477592189
AAMP,0.028253,0.004625,-0.0037261365394173377,-0.096354667025288679,-0.08503097026065963,-0.094773446220577331,0.44224970054702356,0.0071528273545247625,0.335481106,0.75088064972280333
AANAT,0.098962,0.014587,0.0022243807622190901,0.14127721452775152,0.43100828349198839,0.12605912436228733,0.010636604582551019,-0.11743509258265768,1.15271113523,0.30114229671634973
AARS,-0.097843,-0.017581,0.24428347274985421,-0.26497050599572941,-0.30248710228582215,-0.2471172565831555,-0.12414698164070742,0.1073801661242412,-1.20342666727,0.28267583329996915
ABAT,-0.224189,-0.033634,-0.044197890260176509,-0.31808861244291631,-0.16834538659437015,-0.19222183005978818,-0.38819000368706458,-0.23409028298060794,-4.49471503542,0.0064307798565614669
ABCA1,-0.297864,-0.050723,-0.55218241517439248,-0.2010059267410719,-0.11969261626994056,-0.26204762167399942,-0.24772675002815941,-0.40452667727741187,-4.31813713023,0.0075839634688908697
ABCA2,-0.351664,-0.052674,-0.21721603558784969,-0.44390249045446095,-0.4077978829438082,-0.47273401085076078,-0.50058667646978794,-0.067745385891134921,-4.95007846833,0.0042846477393735163
ABCA3,0.284124,0.051351,0.10019860346839302,0.076786921684154616,0.22788650579309269,0.36647216344952205,0.69907825689728287,0.23432367244331564,2.64430918928,0.045738400635261384
ABCB7,-0.292796,-0.047693,-0.36110115871034942,-0.26570904399887801,-0.27821729064225253,-0.11299789746240776,-0.53359399971734178,-0.20515588957470718,-3.89976408477,0.011412005177186291
ABCF1,-0.358291,-0.059313,-0.39907409811933775,-0.31493188113428378,-0.41527014063725393,-0.36713678328227034,-0.3492276961863815,-0.30410326481088973,-10.7012342476,0.00012340604255096224
ABL1,-0.165276,-0.022309,0.12303967137102204,-0.41263725391251577,-0.19368471388093514,-0.27223062974203915,-0.16204778757836683,-0.074095860838816266,-2.24073047251,0.075145720904562188
ABL2,0.290501,0.047043,0.22910370728489474,0.035883977070483603,0.56243039152726493,0.4886174071537529,0.17350258134180477,0.25346680814767997,3.87775138684,0.011668405479511382
ABR,0.299483,0.044442,0.29764056204228656,0.11369577900695033,0.48266544524985178,0.37822151116876823,0.17560229571479735,0.34907154213478431,4.70643406608,0.005306498987797041
ACAA1,-0.120016,-0.020005,-0.46206054366296223,0.051300099157206618,-0.16349152706255551,-0.0666064372920845,-0.017317054454414473,-0.061923122085323905,-1.6038759811,0.1696460092744454
ACACA,0.287252,0.048705,0.18969196361016896,-0.092610179417446328,0.32565112140558733,0.48356660044401717,0.58517314007942689,0.23203727881968167,2.6108481668,0.047620978349860732
