gene symbol,mean r-value,mean slope,H0351.2001 r-value,H0351.1012 r-value,H0351.2002 r-value,H0351.1016 r-value,H0351.1015 r-value,H0351.1009 r-value,t,p
A1BG,-0.190554,-0.017854,-0.21539745631665372,-0.14260610375110502,-0.23799473449458883,-0.26498961890055939,-0.15190120031869278,-0.1304327366338307,-8.78861537516,0.0003164242948412991
A2M,0.122243,0.012816,0.15999748514100454,0.19031969310168773,0.068066940724804847,0.11708974462273854,-0.0066666699826430998,0.2046503823872487,3.33180836289,0.020737807769994933
SERPINA3,0.013781,0.000608,-0.0068988507948960238,-0.14409721328290809,-0.037716151980073567,0.12171835350914553,0.07365473476304274,0.076026299841223305,0.144606961902,0.89066932404659183
AAMP,-0.009267,-0.002411,0.025926949962185031,-0.24220372144679805,-0.16756431776309513,0.093619321997372634,0.18134880316903115,0.053270170772853689,-0.346487457824,0.74308136605493524
AANAT,0.09528,0.00974,0.32479953123320515,0.21536178304064577,0.15573469741621193,0.077209897563568261,-0.094806175115202465,-0.10662053597329414,1.40876121518,0.21795078502708409
AARS,0.12271,0.011012,-0.037333152718328239,-0.091944147457905634,0.067687579283152499,0.2983644850073674,0.25514040293353568,0.24434297104717945,1.73137413724,0.14393628796448402
ABAT,-0.06872,-0.006524,-0.24668651085788676,0.070766295665712589,-0.14719715285255769,-0.073193992857350842,0.00064928759137523374,-0.016656366348196748,-1.40551350001,0.21885709989800806
ABCA1,-0.012127,-0.002196,0.11187606765491857,-0.26147053017942889,-0.15416941796900818,-0.062642122965030689,0.17818577449096976,0.11545789582458212,-0.30824172375,0.77032660790959551
ABCA2,0.062026,0.004884,-0.051233720298732216,-0.16516118853880407,0.024799999108645839,0.10273940357722613,0.27403066523212455,0.18698226140654375,0.756555717456,0.48341904093554888
ABCA3,0.005143,-0.00046,-0.040546407646316229,-0.19982189920938687,-0.066466143690141324,0.17884887630742649,0.13110352423672481,0.02774048779213386,-0.0776422759026,0.94112391300878284
ABCB7,0.09176,0.008876,0.13503295822492506,0.1840135972050109,0.041277465075444462,-0.071773886401098483,0.026344091622730201,0.23566874800682772,2.00541576303,0.10123699108054447
ABCF1,0.099619,0.008407,-0.0079443063685983532,-0.23239795798503868,0.19221253093562946,0.21265622889519062,0.28956656691752702,0.14362079557806695,1.13862575101,0.30645638859817703
ABL1,-0.040834,-0.003753,-0.10575062136534599,0.0021643459957186913,-0.10476353457842096,-0.07203977925102785,-0.011846390035098494,0.04723438616144298,-1.58962379861,0.17278931499837083
ABL2,-0.056049,-0.005115,-0.25980613233392502,-0.042356602765100893,-0.1096753574717,0.069047328813287512,0.045305167852014168,-0.038805556601296622,-1.23239045211,0.27258906057933036
ABR,-0.229016,-0.02136,-0.034080298488923709,-0.1984845058192993,-0.40114838208761888,-0.22141400242057632,-0.26005909982958408,-0.25891025546223961,-4.29766115036,0.0077325959848224424
ACAA1,0.083104,0.007055,0.24379962859603735,-0.009504824887975407,-0.048656528484750834,0.16463240041950189,0.13087046862800536,0.017481221123506703,1.69275869263,0.15128248944320272
ACACA,0.003978,-0.000484,0.049440851973222101,-0.033239319606610786,-0.14423850307633243,0.10892668409988975,0.090012857822371783,-0.04703370745899537,-0.125408225445,0.90508675395586413
ACACB,-0.037451,-0.003401,0.11813906828036884,-0.092223028315436287,0.11237762652257247,-0.19780915531735069,-0.24793945813885088,0.082748129197887266,-0.558624651537,0.60050952595702656
ACADL,-0.213714,-0.020493,-0.2352713739211276,-0.22060715248213567,-0.28520093766437066,-0.11502330478071117,-0.24143299173299818,-0.18474743174154634,-7.14046106113,0.00083653048006201915
ACADM,0.126785,0.013021,0.27521375671319004,0.21380657687979243,0.10596610218521538,0.21574436992183535,-0.097637004654187273,0.047617614211401302,2.36540880343,0.064317891584434864
ACADSB,-0.01464,-0.001618,-0.039021288903237049,0.037531407349771034,-0.22022154578347913,-0.0033191784383858635,0.13400524292981458,0.0031824008770182659,-0.363383666929,0.73117641123730193
ACADVL,-0.045102,-0.003532,0.053891919254428503,0.10621643133553722,-0.26943144610800052,-0.0057982039894938575,-0.061231012236013238,-0.094257626992170551,-0.685507533401,0.52350680997206855
ACAT1,0.000414,-0.000951,-0.10145383154218891,-0.22642045325984336,-0.072770100238172181,0.15637186732822525,0.13423072376310929,0.11252742519946218,-0.148489119017,0.88775959600166954
