gene symbol,mean r-value,mean slope,H0351.2001 r-value,H0351.1012 r-value,H0351.2002 r-value,H0351.1016 r-value,H0351.1015 r-value,H0351.1009 r-value,t,p
A1BG,0.155251,0.02332,0.19440162609210057,0.086346489933438311,0.40481128082424911,0.082431286056229694,0.19696504292436529,-0.033447645196373728,2.53481334955,0.052222705951468412
A2M,0.265943,0.036527,0.16255577465244853,0.18766748742044981,0.35919999114170148,0.019739978194571853,0.50144462410262947,0.3650485976031681,3.93714836637,0.010991247569096621
SERPINA3,0.07655,0.013257,-0.048842291207891513,-0.25005197385482908,-0.042640628551801382,0.13869268308888902,0.20137957779644394,0.46076238344022385,0.869482254947,0.42434805807401738
AAMP,0.215347,0.033284,-0.068215579637794094,0.50419860424000296,0.26653161279207682,0.052915399859096698,0.33897133652318406,0.19767848113574854,2.61535702256,0.047362411216412763
AANAT,-0.087949,-0.012843,-0.15896671796860315,0.078085967961292135,-0.19157865489135598,-0.10077689123877406,-0.06206807857941072,-0.092390209299870643,-2.37769456605,0.063345625303298431
AARS,0.246054,0.038155,0.089958909021999364,0.5851178901727101,0.20250153027806383,0.14880305929594895,0.044025744393395662,0.40591748274676182,2.74550629228,0.04052596363495075
ABAT,-0.190245,-0.027684,0.036540297387815307,-0.45742568077202139,-0.031380928471608775,-0.029279010707777473,-0.36403340762730457,-0.29589162395163876,-2.31090364357,0.068829650891306868
ABCA1,-0.013805,-0.001662,-0.035937544373902092,-0.034508054458538266,-0.10810900128157414,-0.11473124685563071,0.12318221357175148,0.087274740139687793,-0.258254840429,0.80650366662104389
ABCA2,0.418185,0.062124,0.22501607209697194,0.65375516660876887,0.34764188229871085,0.20185033210037348,0.55423880271201253,0.5266080508593235,5.82747193015,0.0021027887967254785
ABCA3,0.059144,0.00917,-0.13651774669141373,0.2918095572327904,0.099219843895347784,0.010687369082707667,-0.095014163456150116,0.18468152179874514,0.923011691274,0.39835505235113872
ABCB7,-0.033088,-0.003929,-0.022585324748743234,-0.41550958478528843,0.23267569950367673,-0.100759251998376,0.047885801608690312,0.059762454279263959,-0.340643762552,0.74721803236083506
ABCF1,0.248317,0.036394,0.11822329386649259,0.60796836989348924,0.29441172554327294,0.138579089601162,-0.067551578518649708,0.39826954375030016,2.52331538015,0.052959969981993434
ABL1,0.256432,0.042713,0.1766283742906837,0.33069796918553629,0.15492592218036916,0.24643188723787515,0.43770163410451962,0.19220563932005477,4.30966626122,0.0076450477598111943
ABL2,-0.006694,-0.001162,0.14467386475643429,0.075951071798760691,0.19590788252922936,-0.031103300266300114,-0.12873437696976631,-0.29685638376004025,-0.122433754082,0.90732433136008295
ABR,-0.219987,-0.03587,-0.16262410376689354,0.12130460849402364,-0.021346160556217117,-0.41178366328458771,-0.45067254687552682,-0.39479915119958098,-2.36339195107,0.064479034921335249
ACAA1,0.325424,0.050698,0.15281343398404551,0.61205677657844559,0.065589356067787735,0.11658557360792092,0.60265279030805619,0.40284581706267886,3.20442515513,0.023876862398336935
ACACA,-0.011048,-0.001588,-0.0098151983779670802,0.18121946388053262,-0.12980629251071504,-0.092158299638038246,0.0065215861132883477,-0.02224749085259475,-0.241846137435,0.81850532636912576
ACACB,0.029479,0.008736,-0.16747045744502437,-0.25122090412451359,-0.073440387122037307,0.058200857735197654,0.43753058757467422,0.17327520463688811,0.533781548285,0.61636042218632681
ACADL,-0.122184,-0.01613,-0.093678738592310781,-0.63161218274605235,-0.11084257204796409,0.16733580213165716,0.1435290672044352,-0.2078350726013756,-0.912914535622,0.4031594859540219
ACADM,0.029932,0.008105,-0.01194331139511867,-0.40092570153893142,-0.017295047661312984,0.025783813402552747,0.30662267174542568,0.27735240071766459,0.457227668891,0.66668711020008897
ACADSB,-0.065691,-0.009451,-0.0061087072466236665,0.14333641028826077,-0.29944265831450068,0.02829642634015956,-0.057504438226877563,-0.20272498799555372,-1.07601316099,0.33107790434246381
ACADVL,0.116602,0.019425,-0.05689327767739534,0.30928579058879785,-0.10959110719512537,-0.093275502173414876,0.39094411133432777,0.25914280604154344,1.31307768533,0.24618710860612678
ACAT1,0.133248,0.018861,0.080183981217646694,-0.11111361251405211,0.17295313284779729,0.30746969586432776,-0.13031188334314164,0.48030637821707345,1.34881911176,0.23526193937736561
ACAT2,0.060723,0.011044,0.078429661207704407,0.12656528545638002,-0.095679062830224496,-0.068231347938357986,0.1724708852233646,0.15078355430382037,1.31678191412,0.24503335651860642
ASIC2,-0.307892,-0.049963,-0.22714499362241347,-0.32619941144219428,-0.30940956116290136,-0.33097251933490313,-0.21769230092795047,-0.43593305687595235,-9.43940136223,0.00022528248632513201
ASIC1,0.084494,0.010764,0.27798819394444213,0.1111533196986085,0.11860824890016343,0.010522868763528521,-0.102611729762642,0.091301757155388089,1.46617890788,0.20250508852339652
ACHE,-0.113188,-0.016513,0.047262637689776794,-0.27422884012670057,-0.037971873413929547,-0.43585158568127763,0.25352090294305502,-0.2318588038825844,-1.02608467673,0.35190593899656691
ACLY,-0.111809,-0.015885,0.21241866946364474,-0.42652068411012889,-0.23347406042514984,-0.32187927006373157,0.25908430201238214,-0.16048357845353795,-0.943612678479,0.38869429381519577
ACO1,-0.036562,-0.005434,0.04198404018220888,0.10662909057355177,-0.34021311703826213,-0.19030570477707745,0.20156160934372114,-0.039028152619710252,-0.508714789217,0.6325976719215014
ACR,-0.009907,-0.001695,0.17191434377430365,0.19819705636866441,-0.026621955545058883,-0.068247667115367505,-0.31009459129786116,-0.024591567072652799,-0.152387901268,0.88483942342713351
ACO2,0.155263,0.026558,0.11664852966862203,0.61240355235723298,0.15418742677150596,-0.18584485596022129,0.013731822964010411,0.22045126248650773,1.49013618097,0.1963752014364854
ACOX1,-0.12248,-0.020079,-0.034900643107618264,-0.47745932614316183,0.067252625540174166,-0.13551508632881273,-0.0400944641944928,-0.11416185015385659,-1.62699204012,0.16466736797825382
ACP1,-0.060677,-0.012535,0.021244841917893078,-0.23320862069990173,-0.073557340881471978,-0.090301509234657074,-0.23730639335437154,0.24906614460891444,-1.04792973387,0.34266088585707366
ACP2,-0.020862,-0.0027,0.038875501252263599,-0.21284869213601751,0.01745966779480974,-0.1087699588580905,-0.098618296254746801,0.23872749271653157,-0.294437008933,0.7802563582451385
ACP5,0.1856,0.03,-0.093408916095134936,0.34045481026367053,0.10315679716731582,0.25837094878086142,0.33248040142233931,0.17254425775414786,2.72752896533,0.041401906581188294
ACPP,-0.074279,-0.011758,0.10333576091332061,0.081061946081474642,-0.27305278801059713,-0.08102079144521819,-0.055520104277318731,-0.22047794705075208,-1.26223800411,0.262535493364212
ACTA1,-0.208685,-0.038218,-0.17911876162804988,-0.27455610224913563,-0.31403875537709175,-0.04537062376478767,-0.24592425015786429,-0.19309921018628545,-5.06735452712,0.0038757473097398862
ACTA2,0.043086,0.005115,0.10995381084506743,-0.24495636280214114,0.19264494373984556,-0.27022397411393256,0.15285442124129089,0.31824280645478215,0.354045968847,0.73774536712919936
ACTB,0.042664,0.006285,0.063231177471517963,0.35873437563976923,0.22892716251297915,-0.14611303259573052,-0.029008211322912408,-0.21978647673615134,0.512282130859,0.6302722036420354
ACTC1,-0.032566,-0.004991,-0.17953481855131398,-0.079901992771803321,-0.17788352289290457,-0.26455752007642519,0.40563530373331469,0.10084735304968426,-0.296374202907,0.77886000930815569
ACTG1,0.135179,0.019307,-0.10742464820700241,0.37946741233196235,0.19476050189945321,-0.09758808122924692,0.12732560299450876,0.31453061447555258,1.60185347896,0.17008861523575919
ACTG2,0.056925,0.008139,0.15766004582765342,-0.17494613069141365,0.26550473644670969,-0.11207108892972632,-0.046800696597359359,0.25220149087721616,0.732095562438,0.49696807192553694
ACTN4,0.300424,0.041576,0.32209669228634435,0.62145430225706999,0.38313431136383602,0.086426431514328592,0.2357200399672755,0.15371332441634739,3.39923158768,0.019267109028971122
ACTL6A,0.243762,0.032606,-0.024538928903647082,0.11635214629109794,0.26110405651074692,0.22384379670763166,0.50471749989171755,0.3810904460276211,3.1994542024,0.024009815415660631
ACTN1,-0.214969,-0.043386,0.023870687925313522,-0.070621799388795065,-0.0038209679758421044,-0.26062667743377171,-0.59883896433764428,-0.37977423241176061,-1.93826493363,0.11031578474707478
ACTN2,0.078035,0.014257,0.15731507924621604,0.43464179624049681,0.30377059067688195,0.051531511840793687,-0.26363233516986601,-0.21541735087301106,0.706697848678,0.51131737569490965
ACVR1,-0.142665,-0.01429,0.13465121067196453,-0.42182030744401294,-0.26575728990334291,0.10283374810518349,-0.21908149207096395,-0.18681421125959047,-1.51963480695,0.18907313884676918
ACVR1B,-0.029052,-0.004506,0.035568254382891393,0.090255662100568762,0.060899857560349734,0.067298149895145321,-0.37834915795139151,-0.049984641986623973,-0.407809727152,0.70028834328862022
ACVR2A,-0.241924,-0.033585,-0.0890288804275607,-0.64143858345358307,-0.31255620284070873,-0.078362723274493548,0.031280569899761204,-0.36144045182447815,-2.29531056305,0.070182215435331291
ACVR2B,0.221722,0.031784,0.029766389890821705,0.43982098573452272,0.18805638665050745,0.18493802536982917,0.27340110561230574,0.21435025781544637,4.26866421422,0.007948886803632144
ACVRL1,0.324449,0.045532,0.2756940724309021,0.46227359883243485,0.38046144690126815,0.058484246636859243,0.42623927157134706,0.34354309884877771,5.14047252103,0.0036438888763179384
ACYP1,-0.064827,-0.010778,-0.2116014798360524,-0.11133821626554564,-0.08627417836581612,-0.0054456031612004577,-0.11077874485319604,0.13647654774973769,-1.41472205849,0.21629658127565088
ACYP2,0.254612,0.038691,0.017027577618621049,0.13338302431809376,0.25916318128531218,0.13041145762364778,0.46885446833846139,0.51883099608453243,2.98009638909,0.030796506498087708
ADA,0.40607,0.0557,0.29111400866225484,0.70400164935270104,0.22766578326402062,0.16783123335993552,0.55892651804013749,0.4868818808484342,4.02197702257,0.010101008994001875
